hash,symbol,desc,dt,attchmntFile,sm_name,sm_isin,an_dt,sort_date,seq_id,smIndustry,orgid,attchmntText,bflag,old_new,csvName,exchdisstime,difference
9c6b6399807fce0431bc185bbee09d55,ZYDUSLIFE,Updates,04052024101416,https://nsearchives.nseindia.com/corporate/ZYDUSLIFE_04052024101416_SEIntimationMay42024.pdf,Zydus Lifesciences Limited,INE010B01027,2024-05-04 10:14:16,2024-05-04 10:14:16,,,,"Zydus Lifesciences Limited has informed the Exchange regarding 'Sentynl Therapeutics Inc., USA, a wholly owned subsidiary of Zydus Lifesciences Limited has acquired worldwide proprietary rights to Zokinvyￂﾮ'.",,,,04-May-2024 10:14:20,00:00:04
906cd8ec4ad0e5815b64a5ca8a5b4813,SAMMAANCAP,Updates,04052024101739,https://nsearchives.nseindia.com/corporate/IBULHSGFIN_04052024101739_IHFL_Exchange_intimation_57_04052024.pdf,Sammaan Capital Limited,INE148I01020,2024-05-04 10:17:39,2024-05-04 10:17:39,,,,"Indiabulls Housing Finance Limited has informed the Exchange regarding 'Pursuant to Regulations 30 and 57 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we hereby certify that our Company has made timely payment of interest in respect of the following Secured Redeemable Non-convertible Debentures (NCDs), issued by our Company, through Public Issue, and listed on the Stock Exchange.",,,,04-May-2024 10:17:44,00:00:05
07890689758dfb1e93123504dae067ad,VARDMNPOLY,Updates,04052024101958,https://nsearchives.nseindia.com/corporate/VARDMNPOLY_04052024101958_Change_SeniorMgt_May2024.pdf,Vardhman Polytex Limited,INE835A01011,2024-05-04 10:19:58,2024-05-04 10:19:58,,Textiles - Cotton,,Vardhman Polytex Limited has informed the Exchange regarding 'Regulation 30- Change in Senior Management Personnel'.,,,,04-May-2024 10:20:03,00:00:05
c6642e242327c3c973bc54559beaeb0e,ZYDUSLIFE,Press Release,04052024102035,https://nsearchives.nseindia.com/corporate/ZYDUSLIFE_04052024102035_PressReleaseSentynl.pdf,Zydus Lifesciences Limited,INE010B01027,2024-05-04 10:20:35,2024-05-04 10:20:35,,,,"Zydus Lifesciences Limited has informed the Exchange regarding a press release dated May 04, 2024, titled ""Sentynl Therapeutics announces global acquisition of Zokinvyￂﾮ (Lonafarnib) for treatment of Hutchinson-Gilford Progeria Syndrome from Eiger Biopharmaceuticals"".",,,,04-May-2024 10:20:41,00:00:06
faa08e8628f5d7029392124234d658be,CSBBANK,Analysts/Institutional Investor Meet/Con. Call Updates,04052024102224,https://nsearchives.nseindia.com/corporate/CSBBANK_04052024102224_BSENSECSBECT26042024f.pdf,CSB Bank Limited,INE679A01013,2024-05-04 10:22:24,2024-05-04 10:22:24,,,,CSB Bank Limited has informed the Exchange about Transcript of  Analysts/Institutional Investor Meet/Con. Call,,,,04-May-2024 10:22:28,00:00:04
d8fb3808364fce2ad4e30f0a49d2b1f4,DALBHARAT,Updates,04052024102721,https://nsearchives.nseindia.com/corporate/DALBHARAT_04052024102722_SEIntimationTaxdemand04052024.pdf,Dalmia Bharat Limited,INE00R701025,2024-05-04 10:27:21,2024-05-04 10:27:21,,,,"Dalmia Bharat Limited has informed the Exchange regarding 'Disclosure under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 ( Listing Regulations )'.",,,,04-May-2024 10:27:26,00:00:05
5e0ac2287518a50a6cd50bb792beb09f,VARDMNPOLY,Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,04052024103410,https://nsearchives.nseindia.com/corporate/xbrl/VARDMNPOLY_04052024103410_CIM_23421_1115208_04052024103409_WEB.xml,Vardhman Polytex Limited,INE835A01011,2024-05-04 10:34:10,2024-05-04 10:34:10,,Textiles - Cotton,,VARDHMAN POLYTEX LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,,,,04-May-2024 10:34:14,00:00:04
2618379552b539f3026254bf9bdb9ccb,MODISONLTD,Analysts/Institutional Investor Meet/Con. Call Updates,04052024103801,https://nsearchives.nseindia.com/corporate/MODISONLTD_04052024103801_OutcomeInvestormeet.pdf,MODISON LIMITED,INE737D01021,2024-05-04 10:38:01,2024-05-04 10:38:01,,,,MODISON LIMITED has informed the Exchange about Postpone meeting,,,,04-May-2024 10:38:06,00:00:05
7d98ef1d1567ed8dcf1efe920fbdb542,SPORTKING,Analysts/Institutional Investor Meet/Con. Call Updates,04052024104758,https://nsearchives.nseindia.com/corporate/SPORTKING_04052024104758_transcripts_310324.pdf,Sportking India Limited,INE885H01011,2024-05-04 10:47:58,2024-05-04 10:47:58,,,,Sportking India Limited has informed the Exchange about Transcripts of Earnings Call,,,,04-May-2024 10:48:03,00:00:05
0e667b40246936efee13080388b116c3,RUSHIL,Trading Window-XBRL,04052024104840,https://nsearchives.nseindia.com/corporate/xbrl/RUSHIL_04052024104840_CLOSURE_TRADING_WINDOW_1115217_04052024104839_WEB.xml,Rushil Decor Limited,INE573K01017,2024-05-04 10:48:40,2024-05-04 10:48:40,,Construction,,Rushil Decor Limited has informed the Exchange about Closure of Trading Window,,,,04-May-2024 10:48:45,00:00:05
