hash,symbol,desc,dt,attchmntFile,sm_name,sm_isin,an_dt,sort_date,seq_id,smIndustry,orgid,attchmntText,bflag,old_new,csvName,exchdisstime,difference,fileSize
a26f2862936d4c6c8da1536259600dc0,GODREJPROP,Press Release,23062025065852,https://nsearchives.nseindia.com/corporate/GODREJPROP_23062025065832_SEIntimation.pdf,Godrej Properties Limited,INE484J01019,2025-06-23 06:58:52,2025-06-23 06:58:52,,Construction,,"Godrej Properties Limited has informed the Exchange regarding a press release dated Jun 23, 2025, titled ""Press release"".",,,,23-Jun-2025 06:58:53,00:00:01,639 KB
1f80f79bb790a95495b8e5d19ed94923,EMBDL,Press Release,23062025082610,https://nsearchives.nseindia.com/corporate/IBREL_23062025082549_EDL_SE_Intimation.pdf,Embassy Developments Limited,INE069I01010,2025-06-23 08:26:10,2025-06-23 08:26:10,,,,"Embassy Developments Limited has informed the Exchange regarding a press release dated Jun 23, 2025, titled ""Embassy Developments Limited Inks Joint Development Pact for 17.9 Acres of Land in Whitefield, Bengaluru; Boosts Existing Residential Pipeline with an Estimated GDV of &#8377;1,600 Cr"".",,,,23-Jun-2025 08:26:11,00:00:01,647 KB
6cf75660da6ea367104236cd828aa713,NITCO,Updates,23062025085722,https://nsearchives.nseindia.com/corporate/NITCO_23062025085637_Stock_Exchange_intimation_Prestige_Signed.pdf,Nitco Limited,INE858F01012,2025-06-23 08:57:22,2025-06-23 08:57:22,,Ceramics And Sanitaryware,,Nitco Limited has informed the Exchange regarding 'Update on Prestige Estates Projects Limited order'.,,,,23-Jun-2025 08:57:23,00:00:01,399 KB
ccdbe1d19b868be54abfa53cfb3e1a77,RELINFRA,Agreements,23062025090150,https://nsearchives.nseindia.com/corporate/RELINFRA_23062025090042_SEDisclosureJRTRSettlementAgreement20062025SD.pdf,Reliance Infrastructure Limited,INE036A01016,2025-06-23 09:01:50,2025-06-23 09:01:50,,Power,,Reliance Infrastructure Limited has informed the Exchange about Agreements,,,,23-Jun-2025 09:01:52,00:00:02,202 KB
50b794582e2d6b9c67ab81fbb3e4a915,BEML,Analysts/Institutional Investor Meet/Con. Call Updates,23062025095106,https://nsearchives.nseindia.com/corporate/BEML_23062025095035_SEANALYST23062025.pdf,BEML Limited,INE258A01016,2025-06-23 09:51:06,2025-06-23 09:51:06,,Engineering,,BEML Limited has informed the Exchange about Transcript,,,,23-Jun-2025 09:51:07,00:00:01,13.01 MB
84f47496fc0cf9a1623dc417a5655e43,SEAMECLTD,Updates,23062025100335,https://nsearchives.nseindia.com/corporate/SEAMECLTD_23062025100328_BSENSEDeploymentStatusSII2306025.pdf,Seamec Limited,INE497B01018,2025-06-23 10:03:35,2025-06-23 10:03:35,,Shipping,,Seamec Limited has informed the Exchange regarding 'Intimation on Deployment Status of Vessel SEAMEC II'.,,,,23-Jun-2025 10:03:37,00:00:02,359 KB
e687586a748c19e00d3a40ac773ae285,BCONCEPTS,Clarification - Financial Results,23062025101908,-,Brand Concepts Limited,INE977Y01011,2025-06-23 10:19:08,2025-06-23 10:19:08,,,,"The Exchange has sought clarification from Brand Concepts Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Financial results submitted is not as per format prescribed by SEBI The response of the Company is awaited.",,,,23-Jun-2025 10:19:09,00:00:01,-
cdb7025004e9c8c8efb714f5b943a0f6,APOLLO,Investor Presentation,23062025102651,https://nsearchives.nseindia.com/corporate/APOLLO_23062025101612_SE_Intimation_Schedule_of_Analyst_Meet.pdf,Apollo Micro Systems Limited,INE713T01010,2025-06-23 10:26:51,2025-06-23 10:26:51,,,,Apollo Micro Systems Limited has informed the Exchange about Investor Presentation,,,,23-Jun-2025 10:26:51,00:00:00,512 KB
956cc2eaec67aa99dfbb0a494218f8d5,APOLLO,Investor Presentation,23062025103047,https://nsearchives.nseindia.com/corporate/APOLLO_23062025103034_SE_Intimation_Schedule_of_Analyst_Meet.pdf,Apollo Micro Systems Limited,INE713T01010,2025-06-23 10:30:47,2025-06-23 10:30:47,,,,Apollo Micro Systems Limited has informed the Exchange about Investor Presentation,,,,23-Jun-2025 10:30:49,00:00:02,512 KB
44a86b7985235200236d7005c144bce0,BSE,Analysts/Institutional Investor Meet/Con. Call Updates,23062025103118,https://nsearchives.nseindia.com/corporate/BSE1_23062025103011_NSEintimation.pdf,BSE Limited,INE118H01025,2025-06-23 10:31:18,2025-06-23 10:31:18,,,,BSE Limited has informed the Exchange about Cancellation of Analysts/Investors Meet,,,,23-Jun-2025 10:31:20,00:00:02,850 KB
fbfd8bc8bfc980ebde34c2a51716f3fa,APOLLO,Investor Presentation,23062025103315,https://nsearchives.nseindia.com/corporate/APOLLO_23062025103235_SE_Intimation_Schedule_of_Analyst_Meet.pdf,Apollo Micro Systems Limited,INE713T01010,2025-06-23 10:33:15,2025-06-23 10:33:15,,,,Apollo Micro Systems Limited has informed the Exchange about Investor Presentation,,,,23-Jun-2025 10:33:16,00:00:01,512 KB
407097128c51b7ea4569105886d6f77f,GOACARBON,General Updates,23062025103414,https://nsearchives.nseindia.com/corporate/GOACARBON_23062025103036_GOACARBON_Updates_23062025.pdf,Goa Carbon Limited,INE426D01013,2025-06-23 10:34:14,2025-06-23 10:34:14,,Metals,,Goa Carbon Limited has informed the Exchange about the temporary shut down of the Company's Bilaspur Unit for periodical maintenance work.,,,,23-Jun-2025 10:34:14,00:00:00,649 KB
ed7982a3b824bdd62eb411ccdddb2123,APOLLO,Investor Presentation,23062025103502,https://nsearchives.nseindia.com/corporate/APOLLO_23062025103433_SE_Intimation_Schedule_of_Analyst_Meet.pdf,Apollo Micro Systems Limited,INE713T01010,2025-06-23 10:35:02,2025-06-23 10:35:02,,,,Apollo Micro Systems Limited has informed the Exchange about Investor Presentation,,,,23-Jun-2025 10:35:02,00:00:00,512 KB
