hash,symbol,company,purpose,bm_desc,date
69d6f9d945723c44c83596534bba8caf,BLUSPRING,Bluspring Enterprises Limited,Financial Results,"BLUSPRING : 23-Jun-2025 :  The Company has informed the Exchange that a Board meeting to be held on Jun 25, 2025 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on Jun 23, 2025,  To consider and approve the financial results for the period ended March 31, 2025",2025-06-23
b2ad91d0057d5781d77daa95249e6393,GVPTECH,GVP Infotech Limited,Fund Raising,"To consider the brief term of Rights Issue including Equity shares to be offered through the issue, Issue Price per equity share, Right entitlement ratio, Terms of Payment, etc.",2025-06-23
ea8b3943f4d993a0bef089b2669bbb6b,KSHITIJPOL,Kshitij Polyline Limited,Fund Raising/Other business matters,To consider Fund Raising and other business matters,2025-06-23
5c7d914dc87ed4be7c551827a712bd90,PROSTARM,Prostarm Info Systems Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-06-23
94cae31bdaed06a8fcb373720449d6b2,RAMRAT,Ram Ratna Wires Limited,Financial Results,"RAMRAT : 23-Jun-2025 :  The Company has informed the Exchange that a Board meeting scheduled to be held on Jun 16, 2025 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on Jun 23, 2025,  To consider and approve the re-adoption of financial statements for the quarter and year ended on March 31, 2025 to give effect to the Scheme of Amalgamation.",2025-06-23
790441dd63cd832f67d9fe484d689dc5,SCODATUBES,Scoda Tubes Limited,Financial Results/Other business matters,"To consider and approve the financial results for the period ended March 31, 2025 and other business matters",2025-06-24
26a2457701aef30541d15638eb8b77f5,MAPMYINDIA,C.E. Info Systems Limited,Other business matters,"To consider other business matters:1.Report of Board of Directors along with Management Discussion & Analysis Report, Business Reporting & Sustainability Report (BRSR) and Corporate Governance Report and other Annexures for the Financial Year ended March 31, 2025;2.Date and time for holding the 30th Annual General Meeting of the company and to approve draft Notice of the same;3.Appointment of the scrutinizer for the purpose of e-voting and for ballot voting at 30th Annual General Meeting of the Company;4.Appointment of M/s. M S K A & Associates, Chartered Accountants, (ICAI Firm Registration No. 105047W) as Statutory Auditors of the Company for a period of 5 years and to recommend the same for approval of shareholders of the Company and5.Appointment of Mr. Santosh Kumar Pradhan, Practising Company Secretary as the Secretarial Auditor for the period of 5 years and to recommend the same for approval of shareholders of the Company.",2025-06-24
dd4b406a0be22120d590a006463d8d09,PRITIKAUTO,Pritika Auto Industries Limited,Other business matters,To consider other business matters,2025-06-24
38ebb597b900cd7c878d0e8a58f82ad4,DPWIRES,D P Wires Limited,Other business matters,"DPWIRES : 24-Jun-2025 :  The Company has informed the Exchange that a Board meeting to be held on Jun 21, 2025 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on Jun 24, 2025,  To consider other business matters",2025-06-24
3cc854286aced145ef095058c7c07787,ASTEC,Astec LifeSciences Limited,Fund Raising,To consider Fund Raising,2025-06-24
1d0d312608645189c9aea521607f20d6,MANCREDIT,Mangal Credit and Fincorp Limited,Fund Raising,"To consider Fund Raising by way of debt issue in the form of debentures, subject to requisite approvals.",2025-06-24
3e27b8520cc6a535be2454729fdd7ae5,VALIANTORG,Valiant Organics Limited,Board meeting Rescheduled,"Valiant Organics Limited has informed the Exchange that the meeting of the Board of Directors of the Company scheduled to be held on Jun 25, 2025 To consider Fund Raising has been postponed",2025-06-25
e3c86affe98c0c6ec806b74c9e6282b6,BLUSPRING,Bluspring Enterprises Limited,Financial Results,"To consider and approve the financial results for the quarter and financial year ended March 31, 2025",2025-06-25
3afa529caa283ac267b78bc7b7e3029b,CANFINHOME,Can Fin Homes Limited,Fund Raising,To consider Fund Raising,2025-06-25
6de2114e75b6915bda6066b60762e852,CEATLTD,CEAT Limited,Fund Raising,To consider Fund Raising,2025-06-25
c4ca8e0bb42735f09141c76167581e96,EXICOM,Exicom Tele-Systems Limited,Fund Raising,"To consider Fund Raising by way of a Rights Issue to the eligible equity shareholders of the Company, subject to the receipt of applicable regulatory/statutory approvals as may be required",2025-06-25
cb19c04acd286aa996a8e92845f44654,INDSWFTLTD,Ind-Swift Limited,Financial Results,"To inter alia consider and approve the audited financial results for the quarter and financial year ended March 31, 2025",2025-06-25
5d656b3eca650e8f28a50b0dbe6df355,SIGNATURE,Signatureglobal (India) Limited,Fund Raising,To consider Fund Raising,2025-06-25
98b5ae350b28c89cfe15f65903c2cd04,UNIONBANK,Union Bank of India,Other business matters,Board Meeting Intimation for considering Capital Plan of the Bank for FY 2025-26.,2025-06-25
d9799eeb2065428c4114e8fc4c3a776e,VALIANTORG,Valiant Organics Limited,Fund Raising,To consider Fund Raising,2025-06-25
