name,file_title
3I Infotech,ITeS
Accelya Solutions,ITeS
Aurum Proptech,ITeS
Birlasoft,ITeS
Cyient,ITeS
HCL Tech.,ITeS
Infosys,ITeS
LTIMindtree,ITeS
Nucleus Software Exp,ITeS
Oracle Finl. Service,ITeS
Persistent Systems,ITeS
Quick Heal Tech,ITeS
Ramco Systems,ITeS
TCS,ITeS
Tata Elxsi,ITeS
Tech Mahindra,ITeS
Tejas Networks,ITeS
Wipro,ITeS
Zen Technologies,ITeS
eClerx Services,ITeS
AGS Transact Tech,Platform
Affle (India),Platform
CE Info Systems,Platform
CarTrade Tech,Platform
Data Patterns (I),Platform
Easy Trip Planners,Platform
FSN E-Commerce,Platform
Indiamart Intermesh,Platform
IRCTC,Platform
Infibeam Avenues,Platform
Info Edge,Platform
Just Dial,Platform
Latent View Analytic,Platform
Matrimony.Com,Platform
Medplus Health Servi,Platform
Nazara Technologies,Platform
One97 Communications,Platform
PB Fintech,Platform
Route Mobile,Platform
Zomato,Platform
Aarti Inds,AgroChemicals
BASF India,AgroChemicals
Godrej Agrovet,AgroChemicals
Heranba Industries,AgroChemicals
India Pesticides,AgroChemicals
Insecticides India,AgroChemicals
Meghmani Organics,AgroChemicals
PI Industries,AgroChemicals
Punjab Chem. & Corp,AgroChemicals
Rallis India,AgroChemicals
Sharda Cropchem,AgroChemicals
Tata Chemicals,AgroChemicals
UPL,AgroChemicals
Assoc Alcohols &Brew,AlcoholicBeverages
GM Breweries,AlcoholicBeverages
Globus Spirits,AlcoholicBeverages
IFB Agro Inds,AlcoholicBeverages
Radico Khaitan,AlcoholicBeverages
Som Distilleries,AlcoholicBeverages
Tilaknagar Inds,AlcoholicBeverages
United Breweries,AlcoholicBeverages
United Spirits,AlcoholicBeverages
DCW,AlkaliChemicals
GHCL,AlkaliChemicals
Tata Chemicals,AlkaliChemicals
Aditya Birla Capital,AssetManagement
Aditya Birla Sun AMC,AssetManagement
Axis Bank,AssetManagement
Bank Of Baroda,AssetManagement
Canara Bank,AssetManagement
Edelweiss Financial,AssetManagement
HDFC Asset Mngt. Co,AssetManagement
ICICI Bank,AssetManagement
IDBI,AssetManagement
IDFC-(Amalgamated),AssetManagement
IIFL Finance,AssetManagement
JM Financial,AssetManagement
Kotak Mahindra Bank,AssetManagement
L&T Finance,AssetManagement
Mah & Mah Finl. Serv,AssetManagement
Motilal Oswal Fin,AssetManagement
Nippon Life India As,AssetManagement
SBI,AssetManagement
Sundaram Finance,AssetManagement
UTI Asset Management,AssetManagement
Union Bank Of India,AssetManagement
Alicon Castalloy,AutoAncillary
Apollo Tyres,AutoAncillary
Automobile Corp.Goa,AutoAncillary
Auto.Axle,AutoAncillary
Balkrishna Inds.,AutoAncillary
Banco Products (I),AutoAncillary
Bharat Forge,AutoAncillary
Bosch,AutoAncillary
CEAT,AutoAncillary
Cholamandalam Fin.,AutoAncillary
Dynamatic Tech,AutoAncillary
Endurance Tech,AutoAncillary
Enkei Wheels,AutoAncillary
Federal-Mogul Goetze,AutoAncillary
Fiem Inds,AutoAncillary
GNA  Axles,AutoAncillary
Gabriel India,AutoAncillary
Hindustan Composites,AutoAncillary
India Nipon Electric,AutoAncillary
JBM Auto,AutoAncillary
JK Tyres & Inds.,AutoAncillary
JTEKT India,AutoAncillary
Jamna Auto Inds.,AutoAncillary
Jay Bharat Maruti,AutoAncillary
Lumax Auto Tech,AutoAncillary
Lumax Industries,AutoAncillary
MRF,AutoAncillary
Menon Bearings,AutoAncillary
Minda Corporation,AutoAncillary
Munjal Showa,AutoAncillary
PPAP Automotive,AutoAncillary
Precision Camshafts,AutoAncillary
Ramkrishna Forgings,AutoAncillary
Rane Madras,AutoAncillary
Rane Brake Lining,AutoAncillary
Rane Holdings,AutoAncillary
Rico Auto Inds,AutoAncillary
Rolex Rings,AutoAncillary
SamvardhanaMotherson,AutoAncillary
Sansera Engineering,AutoAncillary
Shanthi Gears,AutoAncillary
Shivam Autotech,AutoAncillary
Sona BLW Precision,AutoAncillary
Steel Strips Wheels,AutoAncillary
Sterling Tools,AutoAncillary
Subros,AutoAncillary
Suprajit Engineering,AutoAncillary
Swaraj Engines,AutoAncillary
TVS Holdings,AutoAncillary
TVS Srichakra,AutoAncillary
Hi-Tech Gears,AutoAncillary
UCAL,AutoAncillary
UNO Minda,AutoAncillary
Varroc Engineering,AutoAncillary
Wheels India,AutoAncillary
Yuken India,AutoAncillary
ZF Comm Vehic Contr,AutoAncillary
ZF Steering Gear (I),AutoAncillary
Ashok Leyland,AutoOEM
Atul Auto,AutoOEM
Bajaj Auto,AutoOEM
Eicher Motors,AutoOEM
Force Motors,AutoOEM
Hero MotoCorp,AutoOEM
Mahindra & Mahindra,AutoOEM
Maruti Suzuki,AutoOEM
SML Isuzu,AutoOEM
TVS Motor,AutoOEM
Tata Motors,AutoOEM
Interglobe Aviation,Aviation
Jet Airways (I),Aviation
SpiceJet,Aviation
Axis Bank,Banks
Bank Of Baroda,Banks
Bank Of India,Banks
Bank of Maharashtra,Banks
Canara Bank,Banks
CentralBank of India,Banks
City Union Bank,Banks
HDFC Bank,Banks
ICICI Bank,Banks
IDBI,Banks
IDFC First Bank,Banks
Indian Bank,Banks
Indian Overseas Bank,Banks
Indusind Bank,Banks
Kotak Mahindra Bank,Banks
Punjab & Sind Bank,Banks
PNB,Banks
RBL Bank,Banks
SBI,Banks
Federal Bank,Banks
J&K Bank,Banks
Karnataka Bank,Banks
South Indian Bank,Banks
UCO Bank,Banks
Union Bank Of India,Banks
Yes Bank,Banks
Amara Raja Energy,Batteries
Eveready Inds. India,Batteries
Exide Inds,Batteries
HBL Power Sys,Batteries
High Energy Batterie,Batteries
Indo-National,Batteries
Panasonic Energy Ind,Batteries
Bimetal Bearings,Bearings
Galaxy Bearings,Bearings
Menon Bearings,Bearings
NRB Bearings,Bearings
SKF India,Bearings
SNL Bearings,Bearings
Schaeffler India,Bearings
Timken India,Bearings
ACC,Cement
Aditya Birla Real,Cement
Ambuja Cement,Cement
Birla Corporation,Cement
Dalmia Bharat,Cement
Dalmia Bharat Sugar,Cement
Deccan Cements,Cement
Grasim Industries,Cement
Heidelberg Cement,Cement
JK Cement,Cement
JK Lakshmi Cement,Cement
KCP,Cement
Kesoram Industries,Cement
Mangalam Cement,Cement
NCL Industries,Cement
Nuvoco Vistas Corpor,Cement
Orient Cement,Cement
Prism Johnson,Cement
Rain Industries,Cement
Sagar Cements,Cement
Sanghi Industries,Cement
Shree Cement,Cement
Star Cement,Cement
India Cements,Cement
The Ramco Cements,Cement
Udaipur Cement Works,Cement
Ultratech Cement,Cement
Aarti Inds,Chemicals
Aksharchem (I),Chemicals
Alkyl Amines Chem,Chemicals
Amal,Chemicals
Amines & Plastic,Chemicals
Andhra Petrochem,Chemicals
Apcotex Inds,Chemicals
Arrow Greentech,Chemicals
Asahi Songwon Colors,Chemicals
Astral,Chemicals
Atul,Chemicals
BASF India,Chemicals
Balaji Amines,Chemicals
Bhageria Industries,Chemicals
Bhansali Engg. Poly.,Chemicals
Bharat Rasayan,Chemicals
Bodal Chemicals,Chemicals
Bombay Oxygen Invest,Chemicals
Camlin Fine Sciences,Chemicals
Captain Polyplast,Chemicals
Chambal Fert & Chem,Chemicals
Chembond Chemicals,Chemicals
Chemfab Alkalis,Chemicals
Coromandel Interntl.,Chemicals
Cosmo First,Chemicals
DCW,Chemicals
DMCC Speciality Chem,Chemicals
Deepak Fert & Petro,Chemicals
Deepak Nitrite,Chemicals
Dhanuka Agritech,Chemicals
Diamines & Chemicals,Chemicals
Dynemic Products,Chemicals
EPL,Chemicals
Elgi Rubber Co.,Chemicals
Emmbi Industries,Chemicals
Ester Inds,Chemicals
Excel Industries,Chemicals
Fiberweb India,Chemicals
Fine Organic Inds.,Chemicals
Fineotex Chemical,Chemicals
Finolex Inds,Chemicals
Flexituff Ventures,Chemicals
GHCL,Chemicals
GOCL Corporation,Chemicals
GRP,Chemicals
Ganesh Benzoplast,Chemicals
Garware Hi-Tech,Chemicals
Genpharmasec,Chemicals
Grauer & Weil (I),Chemicals
Guj. Alkalies & Chem,Chemicals
Gujarat Fluorochemic,Chemicals
GNFC,Chemicals
GSFC,Chemicals
Gulshan Polyols,Chemicals
Heubach Colorants(I),Chemicals
Himadri Speciality,Chemicals
Hind Organic Chem,Chemicals
Hitech Corporation,Chemicals
IG Petrochem.,Chemicals
IOL Chem & Pharma,Chemicals
India Glycols,Chemicals
Indian Toners & Dev,Chemicals
Indo Amines,Chemicals
Indo Borax & Chem.,Chemicals
Insecticides India,Chemicals
International Convey,Chemicals
Jain Irrigation Sys,Chemicals
Jindal Poly Films,Chemicals
Kanoria Chem. & Inds,Chemicals
Kanpur Plastipack,Chemicals
Kingfa Science,Chemicals
Kiri Industries,Chemicals
Kisan Mouldings,Chemicals
Kkalpana lnds. (I),Chemicals
Kothari Petrochem,Chemicals
Kriti Industries (I),Chemicals
Laxmi Organic Inds.,Chemicals
Linde India,Chemicals
Lords Chloro Alkali,Chemicals
Mahindra EPC Irrigat,Chemicals
Manali Petro,Chemicals
Mangalam Organics,Chemicals
Mangalore Chem &Fert,Chemicals
Meghmani Organics,Chemicals
Mold-tek Packaging,Chemicals
Multibase India,Chemicals
NACL Industries,Chemicals
Naperol Investments,Chemicals
Navin Fluorine Intl,Chemicals
Neogen Chemicals,Chemicals
Nilkamal,Chemicals
NOCIL,Chemicals
Oricon Enterprises,Chemicals
Orient Press,Chemicals
Oriental Aromatics,Chemicals
Oriental Carbon&Chem,Chemicals
Oswal Greentech,Chemicals
PCBL,Chemicals
PI Industries,Chemicals
Paushak,Chemicals
Pidilite Inds.,Chemicals
Pix Transmission,Chemicals
Plastiblends India,Chemicals
Polson,Chemicals
Polyplex Corporation,Chemicals
Premier Explosives,Chemicals
Prima Plastics,Chemicals
Primo Chemicals,Chemicals
Privi Speciality Che,Chemicals
Punjab Chem. & Corp,Chemicals
RDB Rasayans,Chemicals
Rajoo Engineers,Chemicals
Rama Phosphates,Chemicals
RCF,Chemicals
Responsive Inds,Chemicals
Rubfila Internatl.,Chemicals
Sadhana Nitro Chem,Chemicals
Seya Industries,Chemicals
Sharda Cropchem,Chemicals
Shivalik Rasayan,Chemicals
Shree Pushkar Chem,Chemicals
Shri Jagdamba Poly,Chemicals
Sigachi Industries,Chemicals
Signet Industries,Chemicals
Sintex Plastics Tech,Chemicals
Solar Industries,Chemicals
SPIC,Chemicals
Sree Rayal.Hi-Strent,Chemicals
Standard Inds,Chemicals
Styrenix Performance,Chemicals
Sudarshan Chemicals,Chemicals
Supreme Industries,Chemicals
TGV SRACC,Chemicals
TPL Plastech,Chemicals
TN Petro Products,Chemicals
Tanfac Industries,Chemicals
Tata Chemicals,Chemicals
Fert Chem Travancore,Chemicals
Thirumalai Chemicals,Chemicals
Time Technoplast,Chemicals
Transpek Industry,Chemicals
Uflex,Chemicals
Valiant Organics,Chemicals
Vidhi Specialty Food,Chemicals
Vikas EcoTech,Chemicals
Vinati Organics,Chemicals
Vinyl Chemicals,Chemicals
Vishnu Chemicals,Chemicals
Worth Peripherals,Chemicals
Yasho Industries,Chemicals
Zuari Industries,Chemicals
Adani Total Gas,CityGas
Gujarat Gas,CityGas
Indraprastha Gas,CityGas
Mahanagar Gas,CityGas
Aksh Optifibre,CommunicationEquipment
Avantel,CommunicationEquipment
Birla Cable,CommunicationEquipment
D-Link (India),CommunicationEquipment
GTL Infrastructure,CommunicationEquipment
HFCL,CommunicationEquipment
ITI,CommunicationEquipment
Indus Towers,CommunicationEquipment
NELCO,CommunicationEquipment
Sterlite Technologie,CommunicationEquipment
Tata Communications,CommunicationEquipment
Tejas Networks,CommunicationEquipment
Apollo Micro Systems,Defence
Astra Microwave Prod,Defence
Avantel,Defence
BEML,Defence
Bharat Dynamics,Defence
Bharat Electronics,Defence
Bharat Forge,Defence
Cochin Shipyard,Defence
Data Patterns (I),Defence
Dynamatic Tech,Defence
Garden Reach Ship,Defence
Hindustan Aeron,Defence
Krishna Defence & Al,Defence
Larsen & Toubro,Defence
MTAR Technologies,Defence
Mazagon Dock Ship,Defence
Mishra Dhatu Nigam,Defence
Paras Defence &Space,Defence
Solar Industries,Defence
