SYMBOL,BASE,instrumentType
GOLD,COMMODITY_NSE,FUTBLN
GOLD1G,COMMODITY_NSE,FUTBLN
GOLDGUINEA,COMMODITY_NSE,FUTBLN
GOLDM,COMMODITY_NSE,FUTBLN
SILVER,COMMODITY_NSE,FUTBLN
SILVERM,COMMODITY_NSE,FUTBLN
SILVERMIC,COMMODITY_NSE,FUTBLN
CRUDEOIL,COMMODITY_NSE,FUTENR
CRUDEOILM,COMMODITY_NSE,FUTENR
NATGASMINI,COMMODITY_NSE,FUTENR
NATURALGAS,COMMODITY_NSE,FUTENR
ALUMINI,COMMODITY_NSE,FUTBAS
ALUMINIUM,COMMODITY_NSE,FUTBAS
COPPER,COMMODITY_NSE,FUTBAS
LEAD,COMMODITY_NSE,FUTBAS
LEADMINI,COMMODITY_NSE,FUTBAS
NICKEL,COMMODITY_NSE,FUTBAS
ZINC,COMMODITY_NSE,FUTBAS
ZINCMINI,COMMODITY_NSE,FUTBAS
