tradingDate,weekDay,description,morning_session,evening_session,Sr_no
26-Jan-2025,Sunday,Republic Day,,,1
26-Feb-2025,Wednesday,Mahashivratri,,,2
14-Mar-2025,Friday,Holi,,,3
31-Mar-2025,Monday,Id-Ul-Fitr (Ramadan Eid),,,4
06-Apr-2025,Sunday,Shri Ram Navami,,,5
10-Apr-2025,Thursday,Shri Mahavir Jayanti,,,6
14-Apr-2025,Monday,Dr. Baba Saheb Ambedkar Jayanti,,,7
18-Apr-2025,Friday,Good Friday,,,8
01-May-2025,Thursday,Maharashtra Day,,,9
07-Jun-2025,Saturday,Bakri Id,,,10
06-Jul-2025,Sunday,Muharram,,,11
15-Aug-2025,Friday,Independence Day / Parsi New Year,,,12
27-Aug-2025,Wednesday,Shri Ganesh Chaturthi,,,13
02-Oct-2025,Thursday,Mahatma Gandhi Jayanti/Dussehra,,,14
21-Oct-2025,Tuesday,Diwali Laxmi Pujan,,,15
22-Oct-2025,Wednesday,Balipratipada,,,16
05-Nov-2025,Wednesday,Prakash Gurpurb Sri Guru Nanak Dev,,,17
25-Dec-2025,Thursday,Christmas,,,18
